n,t_s,x,y
0,0.0,-1.0,-736.226562
1,0.0009999995120002381,164.0,-691.215209
2,0.0019999990240004762,336.0,-639.854431
3,0.0029999985360007145,498.0,-582.96173
4,0.0039999980480009524,659.0,-520.863647
5,0.00499999756000119,820.0,-453.820465
6,0.005999997072001429,963.0,-382.979431
7,0.006999996584001667,1104.0,-308.630462
8,0.007999996096001905,1231.0,-231.648941
9,0.008999995608002144,1354.0,-152.3665
10,0.00999999512000238,1456.0,-71.948173
11,0.01099999463200262,1555.0,9.399234
12,0.011999994144002858,1633.0,90.579269
13,0.012999993656003095,1693.0,170.700302
14,0.013999993168003334,1743.0,249.315292
15,0.014999992680003573,1776.0,325.649536
16,0.01599999219200381,1805.0,399.617065
17,0.01699999170400405,1809.0,470.086212
18,0.017999991216004287,1789.0,536.031921
19,0.018999990728004526,1757.0,597.080322
20,0.01999999024000476,1713.0,652.876281
21,0.020999989752005,1655.0,702.982482
22,0.02199998926400524,1583.0,746.983337
23,0.022999988776005478,1488.0,784.034179
24,0.023999988288005716,1390.0,814.332458
25,0.02499998780000595,1273.0,837.265808
26,0.02599998731200619,1147.0,852.752502
27,0.02699998682400643,1008.0,860.514892
28,0.027999986336006668,868.0,860.88916
29,0.028999985848006907,711.0,853.394714
30,0.029999985360007145,558.0,838.625
31,0.03099998487200738,390.0,816.193725
32,0.03199998438400762,218.0,786.284057
33,0.032999983896007855,55.0,749.719848
34,0.0339999834080081,-110.0,706.733825
35,0.03499998292000833,-282.0,657.297119
36,0.035999982432008575,-443.0,602.282287
37,0.03699998194400881,-609.0,541.7182
38,0.03799998145600905,-766.0,476.332275
39,0.03899998096800929,-916.0,406.715667
40,0.03999998048000952,-1062.0,333.279876
41,0.040999979992009765,-1216.0,255.815887
42,0.04199997950401,-1317.0,177.175094
43,0.04299997901601024,-1424.0,97.11634
44,0.04399997852801048,-1518.0,16.360523
45,0.04499997804001071,-1606.0,-64.757499
46,0.045999977552010955,-1675.0,-145.269622
47,0.04699997706401119,-1729.0,-224.456146
48,0.04799997657601143,-1768.0,-301.633331
49,0.04899997608801167,-1796.0,-376.351654
50,0.0499999756000119,-1808.0,-447.934082
51,0.050999975112012146,-1802.0,-515.63739
52,0.05199997462401238,-1768.0,-578.255493
53,0.05299997413601262,-1731.0,-635.8927
54,0.05399997364801286,-1675.0,-687.848083
55,0.054999973160013094,-1608.0,-733.855651
56,0.055999972672013336,-1517.0,-773.012878
57,0.05699997218401357,-1427.0,-805.712219
58,0.05799997169601381,-1317.0,-831.276611
59,0.05899997120801405,-1188.0,-849.112792
60,0.05999997072001429,-1058.0,-859.557128
61,0.060999970232014526,-917.0,-862.42926
62,0.06199996974401476,-767.0,-857.657775
63,0.062999969256015,-608.0,-845.174865
64,0.06399996876801524,-444.0,-825.116149
65,0.06499996828001547,-282.0,-797.960327
66,0.06599996779201571,-110.0,-763.562316
67,0.06699996730401596,54.0,-722.684204
68,0.0679999668160162,217.0,-675.700012
