n,t_s,x,y
0,0.0,-1.0,-780.377319
1,0.0009999997560000595,54.0,-738.658447
2,0.001999999512000119,110.0,-696.225524
3,0.0029999992680001786,162.0,-653.31427
4,0.003999999024000238,219.0,-609.698547
5,0.004999998780000298,283.0,-565.063598
6,0.005999998536000357,337.0,-519.960388
7,0.006999998292000417,392.0,-474.362365
8,0.007999998048000476,444.0,-428.444244
9,0.008999997804000535,497.0,-382.172027
10,0.009999997560000596,558.0,-335.163421
11,0.010999997316000655,608.0,-288.005249
12,0.011999997072000715,660.0,-240.60498
13,0.012999996828000775,712.0,-192.974731
14,0.013999996584000834,766.0,-145.026
15,0.014999996340000894,821.0,-96.7247
16,0.015999996096000953,868.0,-48.488464
17,0.016999995852001012,917.0,-0.21404
18,0.01799999560800107,964.0,47.996662
19,0.018999995364001133,1008.0,95.996833
20,0.019999995120001193,1061.0,144.246994
21,0.02099999487600125,1104.0,192.234649
22,0.02199999463200131,1146.0,239.922912
23,0.02299999438800137,1189.0,287.37677
24,0.02399999414400143,1231.0,334.557922
25,0.024999993900001488,1274.0,381.530029
26,0.02599999365600155,1318.0,428.353515
27,0.02699999341200161,1355.0,474.685852
28,0.02799999316800167,1391.0,520.501586
29,0.028999992924001728,1425.0,565.726501
30,0.029999992680001787,1458.0,610.340148
31,0.030999992436001846,1488.0,654.223144
32,0.031999992192001905,1517.0,697.361999
33,0.03299999194800197,1555.0,740.243896
34,0.033999991704002024,1582.0,782.331726
35,0.034999991460002086,1609.0,823.665161
36,0.03599999121600214,1634.0,864.181884
37,0.036999990972002204,1653.0,903.622802
38,0.03799999072800227,1675.0,942.19165
39,0.03899999048400232,1694.0,979.782043
40,0.039999990240002385,1712.0,1016.392944
41,0.04099998999600244,1731.0,1052.123291
42,0.0419999897520025,1744.0,1086.717163
43,0.04299998950800256,1757.0,1120.231323
44,0.04399998926400262,1769.0,1152.669799
45,0.044999989020002684,1779.0,1183.986328
46,0.04599998877600274,1790.0,1214.286987
47,0.0469999885320028,1802.0,1243.672607
48,0.04799998828800286,1806.0,1271.78894
49,0.04899998804400292,1807.0,1298.549438
50,0.049999987800002976,1810.0,1324.121948
51,0.05099998755600304,1808.0,1348.315795
52,0.0519999873120031,1806.0,1371.199951
53,0.05299998706800316,1801.0,1392.689941
54,0.05399998682400322,1789.0,1412.505493
55,0.054999986580003275,1777.0,1430.730224
56,0.05599998633600334,1769.0,1447.643676
57,0.056999986092003394,1758.0,1463.161499
58,0.057999985848003456,1743.0,1477.153442
59,0.05899998560400352,1730.0,1489.795776
60,0.059999985360003574,1711.0,1500.855957
61,0.06099998511600364,1695.0,1510.56311
62,0.06199998487200369,1675.0,1518.784912
63,0.06299998462800376,1654.0,1525.545654
64,0.06399998438400381,1632.0,1530.868408
65,0.06499998414000387,1608.0,1534.724975
66,0.06599998389600394,1582.0,1537.088745
67,0.06699998365200399,1555.0,1537.984252
68,0.06799998340800405,1517.0,1536.935058
69,0.06899998316400412,1489.0,1534.53833
70,0.06999998292000417,1458.0,1530.711425
71,0.07099998267600423,1425.0,1525.425903
72,0.07199998243200428,1380.0,1518.154663
73,0.07299998218800435,1356.0,1510.046875
74,0.07399998194400441,1317.0,1500.394531
75,0.07499998170000446,1274.0,1489.074829
76,0.07599998145600453,1231.0,1476.171142
77,0.07699998121200459,1190.0,1461.862548
78,0.07799998096800465,1147.0,1446.119384
79,0.0789999807240047,1105.0,1429.063354
80,0.07999998048000477,1060.0,1410.610229
81,0.08099998023600483,1008.0,1390.479736
82,0.08199997999200488,964.0,1369.155761
83,0.08299997974800495,916.0,1346.497924
84,0.083999979504005,868.0,1322.572998
85,0.08499997926000506,819.0,1297.394287
86,0.08599997901600512,766.0,1270.824584
87,0.08699997877200519,711.0,1242.833374
88,0.08799997852800524,661.0,1213.741699
89,0.0889999782840053,609.0,1183.504638
90,0.08999997804000537,558.0,1152.22937
91,0.09099997779600542,497.0,1119.467895
92,0.09199997755200548,443.0,1085.644531
93,0.09299997730800554,391.0,1050.912353
94,0.0939999770640056,334.0,1015.066711
95,0.09499997682000566,282.0,978.413391
96,0.09599997657600572,218.0,940.3927
97,0.09699997633200579,164.0,901.573059
98,0.09799997608800584,109.0,861.944396
99,0.0989999758440059,55.0,821.597167
100,0.09999997560000595,-1.0,780.467285
101,0.10099997535600602,-56.0,738.64392
102,0.10199997511200608,-109.0,696.261718
103,0.10299997486800613,-164.0,653.248657
104,0.1039999746240062,-219.0,609.63623
105,0.10499997438000626,-283.0,565.004394
106,0.10599997413600631,-336.0,519.954162
107,0.10699997389200637,-392.0,474.356445
108,0.10799997364800644,-444.0,428.438629
109,0.1089999734040065,-498.0,382.116699
110,0.10999997316000655,-558.0,335.11087
111,0.11099997291600662,-609.0,287.905334
112,0.11199997267200668,-662.0,240.410064
113,0.11299997242800673,-711.0,192.839569
114,0.11399997218400679,-768.0,144.797592
115,0.11499997194000686,-819.0,96.607711
116,0.11599997169600691,-868.0,48.377323
117,0.11699997145200697,-917.0,0.108456
118,0.11799997120800704,-963.0,-48.046966
119,0.11899997096400709,-1007.0,-95.994613
120,0.11999997072000715,-1060.0,-144.194885
121,0.1209999704760072,-1103.0,-192.135147
122,0.12199997023200727,-1148.0,-239.92839
123,0.12299996998800733,-1190.0,-287.431976
124,0.12399996974400739,-1232.0,-334.660369
125,0.12499996950000745,-1273.0,-381.577362
126,0.1259999692560075,-1318.0,-428.398498
127,0.12699996901200758,-1354.0,-474.678588
128,0.12799996876800762,-1389.0,-520.394653
